--- 12.8250000477 seconds ---
         643997 function calls in 12.695 seconds


   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\kernel\zmq\iostream.py:236(_new_buffer)
        7    0.000    0.000    0.000    0.000 C:\Anaconda\lib\threading.py:1152(currentThread)
        7    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
       40    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'digest' of '_hashlib.HASH' objects}
        7    0.000    0.000    0.000    0.000 {getattr}
       52    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
        7    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
        7    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
        1    0.000    0.000    0.000    0.000 rules1.py:5(<module>)
        2    0.000    0.000    0.000    0.000 {sorted}
        7    0.000    0.000    0.000    0.000 {locals}
       14    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        7    0.000    0.000    0.000    0.000 C:\Anaconda\lib\threading.py:983(ident)
        7    0.000    0.000    0.000    0.000 {max}
        7    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        7    0.000    0.000    0.000    0.000 C:\Anaconda\lib\hmac.py:30(__init__)
        1    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\six.py:175(find_module)
        7    0.000    0.000    0.000    0.000 {thread.get_ident}
        7    0.000    0.000    0.000    0.000 C:\Anaconda\lib\site-packages\IPython\utils\py3compat.py:13(no_code)
        7    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        7    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       16    0.000    0.000    0.000    0.000 {abs}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
		
